DoctorID,SocialSecurityNo
01HZNPDK4TZY1EQA8V1W26JXXM,329-97-0439
01HZNPDK4TGFKW2EDZHBK3T7NT,316-41-0864
01HZNPDK4VDG2HMKJ95XA48F0Q,823-04-9991
01HZNPDK4VVQXNAJTH6X8V3P8M,156-90-4145
01HZNPDK4WT8EMJTX4KS816ZJQ,322-15-3044
01HZNPDK4W376PMNQX3QYHWR50,439-05-8766
01HZNPDK4WMDDVT1NNBEJRKCV7,704-56-2741
01HZNPDK4XMCW70T2MHHFPRB99,526-11-9281
01HZNPDK4XYCYW989H8HW2R80X,146-48-7445
01HZNPDK4YC1T0ZWDJME3RG3AC,260-32-8914
01HZNPDK4YG9B2684GXA1KABV1,264-65-7316
01HZNPDK4YJT4VTTAV2VAFZ3E6,679-19-9298
01HZNPDK4ZWPKYW6C12W2G9PD5,667-10-1079
01HZNPDK4ZAR0MWC3D2YYAY8Z3,787-15-9450
01HZNPDK50QK5A6CFJ0Q1PX7X3,676-33-2857
01HZNPDK505Y849X6H1DKCPS0W,559-19-7280
01HZNPDK509JZTNFVQGNJ2RR7Q,549-08-4214
01HZNPDK51VAJ1FWBP05R6A8VH,259-34-8303
01HZNPDK518ZDASRTY0BN0BDPH,588-91-6807
01HZNPDK52511JZCGCCXPGYWHK,106-39-7839
01HZNPDK52NZASEKDRWYCJEM4T,460-82-4092
01HZNPDK52G2X495AF8EB4NGXN,734-10-2086
01HZNPDK53ADE6Q6VDFRNMTY00,146-17-6707
01HZNPDK536ZHGGS6TM1X7K4NT,269-77-0959
01HZNPDK54PY6TCTV1F2CJVWW1,542-54-0733
01HZNPDK548PJBMGMAYQ7013P6,581-23-4376
01HZNPDK556D8SS94SY1NFD3ZE,570-38-0717
01HZNPDK55XNH573P52Q11BRD5,132-37-6818
01HZNPDK55Y9EBHQ7W13N5WFRS,839-79-4377
01HZNPDK56X7D0HS2MD0KB0D7Q,137-17-9343
01HZNPDK56C0XM82G6ZYZ5JA3F,737-96-4428
01HZNPDK56KA4M14MEMGQNKYJ4,333-57-0560
01HZNPDK571SEY80C87JE6C0H5,623-18-9345
01HZNPDK571KBESYDSF3NJH5BX,865-64-3331
01HZNPDK58B2QG9JBG2VPKCQY3,642-47-9421
01HZNPDK58HSV5RA8K6515V2GP,773-64-6205
01HZNPDK58MYGZNMBJ5XYPKDWH,821-38-1807
01HZNPDK593MGSQAE7BHKBVZWT,760-27-0334
01HZNPDK598V1BJFW09FJK2W7B,145-31-5609
01HZNPDK5AJX0W707ZN91GVDSR,463-04-1590
01HZNPDK5ANHP0XTN3FPZRXJV0,146-77-8279
01HZNPDK5A4BN2NNPQB6GP1X9E,642-13-5514
01HZNPDK5BM71T4K414YVBE5VX,404-06-2967
01HZNPDK5BH5HCX55N5ZQDESPX,447-51-8293
01HZNPDK5B3HBA3EYGF8HX54M5,346-46-9116
01HZNPDK5CY5GZFWBWYGJ9CZ6M,608-16-2301
01HZNPDK5C73TMCWX2P5VXAPK9,578-66-5841
01HZNPDK5DJKVQKKRRY8MJD0CP,309-44-8508
01HZNPDK5DWH46W2RBM2GAYV9J,412-16-2113
01HZNPDK5DYN6AM6YJT6C90FVY,228-27-4924
01HZNPDK5EDB24WHK9ZRBC7PTY,225-21-8159
01HZNPDK5EXYDD9DYVP79FRKE7,208-54-2132
01HZNPDK5FRCBXDMKRPMTHDQ2P,608-51-9171
01HZNPDK5FFGA1N3SP8VMXV8M5,283-72-2782
01HZNPDK5F0NQF46JYPEQGM452,489-23-6654
01HZNPDK5GV8RAZASXT7PGW3BF,804-98-0457
01HZNPDK5GR01X906D8ZTQFA6P,361-71-5509
01HZNPDK5HB8EJG34M6K263QPB,847-28-4589
01HZNPDK5H33VEGXBHAE5GG0X2,402-85-0086
01HZNPDK5H866H3ZP8N1R2304Q,396-26-5390
01HZNPDK5J8QKSDNNVFWY5J29T,838-15-0192
01HZNPDK5JC9Z7TN48GFQ8FC9F,791-46-1216
01HZNPDK5J9KM17925GDGSDCPB,368-66-5820
01HZNPDK5K2961S6V92BEFBH4F,439-17-3436
01HZNPDK5K9D2C74RZJMRDRJW7,434-50-3657
01HZNPDK5M52GH3TD1HXR65BK3,500-40-4373
01HZNPDK5MXG4Q0DY5ST5RV8YK,420-34-4895
01HZNPDK5NASAR799EY9N1WN2K,828-84-9796
01HZNPDK5NGWWKS8FP8DZR8MYC,595-71-9633
01HZNPDK5NB7M93EVKYSVWG7W5,760-73-6042
01HZNPDK5P4HJGXGHWYP0S5B25,746-33-8817
01HZNPDK5PZDC6FWX1AH8Q76K4,382-55-5363
01HZNPDK5PZT95R2Z69C059PWY,143-50-3254
01HZNPDK5Q06WR0N9HMV32N263,713-39-9056
01HZNPDK5QHPX8GTR7PHD6RXWN,754-35-4927
01HZNPDK5R9PKMDRJHBAYE4G3G,357-33-0998
01HZNPDK5RJ9S4TF8JKMAMTD5D,719-11-8289
01HZNPDK5RMFQZC0N4VF9W8JDE,747-45-2089
01HZNPDK5SR9G4K4RKTVHB0JD3,815-32-7964
01HZNPDK5SXX837ZKXST4NS0T9,124-53-0615
01HZNPDK5TN301K9Y6WZ81RTQN,318-46-4633
01HZNPDK5TBH1VEJ4YXRZ68SPG,469-33-5852
01HZNPDK5TXX3B3E86766YB0T8,273-36-6227
01HZNPDK5VN8SH3MEP7M7R9181,696-21-8996
01HZNPDK5VCW1KZKF11ZZ16Q0H,649-74-6426
01HZNPDK5W45AR800MEA4XC8NH,793-74-4885
01HZNPDK5W4PSKS6VRM834NAJQ,412-91-5060
01HZNPDK5WH7RBA4FN71DXCBJ8,202-84-7803
01HZNPDK5XC0X27113FZBASCVY,523-87-2802
01HZNPDK5X4PJT66F4E25BDYWQ,574-68-5967
01HZNPDK5XYVBYT6DGXQAG773S,692-06-1068
01HZNPDK5Y6KK3SEY5E3DTAWX5,132-60-4534
01HZNPDK5YMEAQFV64BB9VK88Q,108-66-3565
01HZNPDK5ZBPRKY7491977QWE3,712-63-0301
01HZNPDK5ZZFB4CWZZM9XNZBED,806-60-9771
01HZNPDK5ZN6Q7SN9HE5EHWAWR,718-68-3433
01HZNPDK600XP4M3NSDN5885CK,477-78-4692
01HZNPDK60045FFSHYMRFDCVJ3,822-96-2039
01HZNPDK61159G4PYJ4QN38GAA,347-09-5478
01HZNPDK615ED4RYDM7681ERP4,461-97-0711
01HZNPDK61X2CF1JCNFA0VZ7BT,174-31-6710
01HZNPDK62GBK87VP36SRBM4H0,226-96-3010
01HZNPDK62R3VSXMS2K8VQD6ZC,307-17-1018
01HZNPDK63Q8AXZY0BHH09N9HC,555-13-9791
01HZNPDK63SSHSKJYS9C0RRF9C,488-70-4988
01HZNPDK63VCWHFDHZYHTRVX4V,741-82-1933
01HZNPDK64W3R4EH2ZGXDBM8JV,409-19-5481
01HZNPDK643RCVRXPBGG877X4Y,464-19-2804
01HZNPDK65ZCYER1KR483W508A,288-60-3646
01HZNPDK655QNYJRM4WQCZBW64,800-52-8989
01HZNPDK65VE2Z4B0RV4AYA2A2,489-36-4791
01HZNPDK66RSH7KR9P0FFX3JEE,634-80-3075
01HZNPDK663YSMVNAPKKM2QHNT,136-09-4535
01HZNPDK666QWS9CDD06AEW5Y9,674-33-6608
01HZNPDK676JD7GZ29HHCQBWW1,379-66-9147
01HZNPDK67NQ9VDA5YXC86G5XV,624-06-7021
01HZNPDK68WTMDASJ8W2KGYRE4,318-78-0269
01HZNPDK68S0PRFCANB98AK3Z7,602-19-1105
01HZNPDK680GTPME6PQWVTFCG7,407-45-5990
01HZNPDK69VGBY44MBMDH2EY5H,833-23-1630
01HZNPDK698F3SX6JHGRKT1G0V,892-26-0223
01HZNPDK6AG44CYNB7ECRFVZ19,119-05-5737
01HZNPDK6A5MY12JYN433GQRDS,329-10-2650
01HZNPDK6AXHZJH6GSC9408B4S,624-07-1068
01HZNPDK6BW9CMZ2YTXPWCSH2D,825-74-7912
01HZNPDK6BGZT9C5VC5CMFBAEX,170-27-5457
01HZNPDK6CQ0Z6YJGK778Z8K7B,110-82-7881
01HZNPDK6CSQSJPXBC7KWGT2EZ,393-63-4577
01HZNPDK6CCSV3AWKT4CYECFVJ,476-37-9539
01HZNPDK6D9XJBSXK5PDQ6FC6Z,746-29-9623
01HZNPDK6D9BQHE40X6JEFGPEB,641-94-0258
01HZNPDK6E32WZH7KJCHPPDV8F,847-74-1933
01HZNPDK6E2V57F2H4E0CKSNBG,868-09-6723
01HZNPDK6E6SRQK4CP81VYZPCX,486-26-9958
01HZNPDK6F0RCZW4F8P3X210RC,540-21-8977
01HZNPDK6FP95QJ3R8HJK28E6W,618-96-0845
01HZNPDK6FK230HA0929ECF6SY,809-67-5786
01HZNPDK6GTEJAH4VJY8A7RYR9,297-29-3114
01HZNPDK6GWMXH7Q0WSVBCET3F,806-97-4933
01HZNPDK6H72B8DPJN4AYH90QK,112-96-7892
01HZNPDK6H1H839DFFZJ3E0SD6,212-37-0945
01HZNPDK6HFTJM9H1P598X121X,654-04-5545
01HZNPDK6J432S3N1CJTKVYPZ1,449-04-0148
01HZNPDK6JWKXXT01MD0PMMWJH,517-15-9973
01HZNPDK6JV3Q62AXT6C09W08J,863-58-5864
01HZNPDK6K14C3QJDYP4KR0YDQ,421-23-4403
01HZNPDK6K95V3EMY04WGPRQMG,183-75-2852
01HZNPDK6M9V2BRS9MVA2CDE2B,114-39-7415
01HZNPDK6MXR2N9NV66TDK9WS4,546-41-4217
01HZNPDK6M0A5BS0XY64DTA3VY,741-48-4030
01HZNPDK6NWEH8X1YSKRWYVFSH,818-91-6341
01HZNPDK6NJFQT206RXRGVT0GH,592-73-2023
01HZNPDK6PWWFMB80EAQ6G34B4,350-26-0053
01HZNPDK6PKG60G8XQ2WKGNAXT,401-98-5058
01HZNPDK6QDQ5682JZWJQ4XFJS,281-56-4967
01HZNPDK6QB4GSF86H933QHM0S,348-53-1210
01HZNPDK6Q2Q345SJNPQ54ERJ1,874-07-3300
01HZNPDK6R8BBBQP4BCAV7AKXH,281-95-7610
01HZNPDK6R8TQW8ERJPTTVVTWQ,626-75-0218
01HZNPDK6S1M487NQK4K7DHZ1K,152-78-0509
01HZNPDK6SDK52H6TVGH8C70TN,857-22-7213
01HZNPDK6SEFN6G7G62F727K2B,370-60-0364
01HZNPDK6TZQK5XT10C5QPYVRQ,345-48-0923
01HZNPDK6TWNJYHND58RKEF2BK,365-69-4572
01HZNPDK6V7973RB6MNRFDRGM8,596-90-6769
01HZNPDK6VMTMXM4ZHFEM97S5E,259-09-6729
01HZNPDK6VXDDWAK26AN7DYVC8,430-54-1407
01HZNPDK6WSC7F37DH76G82AW5,425-06-8332
01HZNPDK6W004QAPGASCHDR3K8,697-99-6731
01HZNPDK6XX3GBS8Z5YR0W6F7T,559-20-8530
01HZNPDK6Y4QZM0H0XFC156PQ8,195-54-0263
01HZNPDK6YVT3A6QAE41MFQXA6,403-78-3252
01HZNPDK6ZHJ1BCT570A3WB8W9,309-11-4009
01HZNPDK6ZMFH6FT2X89AF2A0P,267-34-5693
01HZNPDK6ZAR04FY02DGHDT2NC,614-85-8987
01HZNPDK70ZNYDZ50WVQAECTG5,867-38-8274
01HZNPDK70N4R7XKF37JZXXNA4,400-99-5878
01HZNPDK713WYRPTPPMJZ7ADFD,239-26-7020
01HZNPDK71JFJ2Y7C8R87NJ93A,398-10-8902
01HZNPDK71W0WWDK7FMD75NXH2,545-88-7519
01HZNPDK7259K66VZX8WMPKV38,605-08-2044
01HZNPDK72M508BFRWBD780WQK,548-32-9297
01HZNPDK72FDVEP73S98W0AE9P,653-67-1833
01HZNPDK7339J896CZZ49D2A16,693-60-9351
01HZNPDK73SER95N9N5Y5S626K,308-59-2928
01HZNPDK74DN7GJ5DTWTK6THKR,250-94-6380
01HZNPDK74N9F262W5KYT5AFZW,276-31-4435
01HZNPDK740ACJ6957JWA955XJ,209-94-3721
01HZNPDK75APMF7RG324FY219B,737-52-7188
01HZNPDK75RBFPNQ2KK1N6SW0K,735-91-8630
01HZNPDK765T0DYVGVE2GBZ7N8,332-24-0217
01HZNPDK76TAPGQGYDQR7Q2Y3G,273-99-0113
01HZNPDK76AFQBXPQFVCMF20HM,281-45-2655
01HZNPDK77Y9PQNPKHNMRQF1WG,592-44-4749
01HZNPDK77240XHC02QJCRWYER,401-59-4404
01HZNPDK78JJMAQAE6A0KYG9M3,192-69-7866
01HZNPDK78DWFGDN96VXZ9YBT2,833-18-5863
01HZNPDK78FPWRF982KHKNWKQY,533-23-7532
01HZNPDK79KKFEESSFCQ8GZRCQ,374-56-7735
01HZNPDK79DVMKF7PT61WP8WGM,129-24-8886
01HZNPDK7AMTDCCNM3DARYJ2CD,141-72-9868
01HZNPDK7A735HWS4D74XZ49MM,876-89-1132
01HZNPDK7AKBVHYR7HN593R6RQ,647-81-7547
01HZNPDK7BXHB2DE2QZNWQFNGZ,226-60-5906
01HZNPDK7BQ2JYKSSZWB53X0BM,533-64-0863
01HZNPDK7BGBT19RVPQ46C14BB,127-58-9408
01HZNPDK7CMRE8GA6039TGC2MR,154-52-7569
01HZNPDK7CE13JNE9P9QPHTVX3,307-82-0466
01HZNPDK7DVV38RK6MC1VE6QM9,845-31-9267
01HZNPDK7D79VH14KZKZCY9NQ2,570-32-7210
01HZNPDK7DDYR0A95WX20XA7Y5,545-12-6911
01HZNPDK7E0H4N47PTKMDT4YWT,867-68-4162
01HZNPDK7EVNMYE7GW0RSGGMHT,886-86-2940
01HZNPDK7E4KVCCJRJFCHNXTCQ,181-71-7359
01HZNPDK7FDQB3PEW0PCMMJXZH,760-20-4498
01HZNPDK7FVKM207CVG2QSC62P,850-27-6573
01HZNPDK7G0VJZNE5QB3XNXZ73,534-72-7826
01HZNPDK7G6VHA68EKKRGYPXK9,770-38-1389
01HZNPDK7GS11F1QMHDSARFF9Q,625-96-9600
01HZNPDK7HRG638D53JJDY1T09,278-81-2409
01HZNPDK7HXGF06KQJH7C4DEEP,644-18-5927
01HZNPDK7JCYKNWRE3KY71DS4Y,141-25-8890
01HZNPDK7JNXSMWX9MWCK7S69S,795-17-6402
01HZNPDK7JZ2Y7G9XZME7PT0D3,469-61-9302
01HZNPDK7KNK153Z9QMG3CAHYV,286-41-7685
01HZNPDK7K805M71MW030XPAZW,533-17-4630
01HZNPDK7MCFXXAYZWX4YZBBR7,766-54-2435
01HZNPDK7MGK17K398JF6JMAVR,186-96-2791
01HZNPDK7MJWMJNN44G9DEZMFS,496-10-3413
01HZNPDK7NABEFFXEMQS07JDKS,592-34-6869
01HZNPDK7NJ2MJ7012R6H5WRN6,250-67-8350
01HZNPDK7PJJ2KF20P77QVPMCN,845-01-8953
01HZNPDK7P53DCT975PQTZ2Z30,229-26-5290
01HZNPDK7P5YF6SNCAWEG28K6T,366-60-9506
01HZNPDK7QAS1E0ZQW8DJH35D6,221-79-4270
01HZNPDK7QCSTVJYQQKFTNX2WG,862-31-2594
01HZNPDK7RQR4R15Q1WZY5CCZ6,371-06-1474
01HZNPDK7RAPNPAZXKP1MCZ1A3,290-32-4938
01HZNPDK7RPA5VXFMW0KSA99X2,423-91-4680
01HZNPDK7S5S53HCNDAH3Z80FB,783-43-9180
01HZNPDK7S9ASM5JCE01ARZVQA,288-03-2365
01HZNPDK7TF7GBY16RRRX70Q4T,527-82-9747
01HZNPDK7TMV8EW70R04TK4X6K,354-85-5804
01HZNPDK7TMBSWM1QCDG3GFZTK,659-78-9498
01HZNPDK7VBP0M9S7B9776FCYZ,707-51-0270
01HZNPDK7VR5QRWZCHJ9BAPMXX,652-01-2481
01HZNPDK7WYFVCMA1JBFJTACGY,752-43-6593
01HZNPDK7WN6DKFK957HE1T88C,784-82-4392
01HZNPDK7XCD0QCN9TGCVA1A6Y,248-40-2644
01HZNPDK7XN1QQAGQ8VSNRRAPJ,208-26-1866
01HZNPDK7XRSHHRJSQZ6JK9EC1,761-62-6685
01HZNPDK7Y4JTRHXQ815AF3BVQ,448-33-8903
01HZNPDK7Y5TZ3WEN3FSYPWWGP,419-67-4707
01HZNPDK7YRAYZDKHGTB0TH128,594-27-8874
01HZNPDK7ZFB7WPQ153SYH0S7N,828-09-4353
01HZNPDK7Z4FMW18BYNTKGXE41,478-88-7609
01HZNPDK80EMW9YQYTRCCSG45F,496-83-7860
01HZNPDK805RKZNJMFJGKA6M3N,243-29-5350
01HZNPDK81C4370EVFWPCWQNYG,178-93-2104
01HZNPDK8101Q481SCRMEC6F8R,557-73-2870
01HZNPDK81YM9Q88JSHJHMSE4S,238-69-5373
01HZNPDK82N754GNX7B9ER3CEB,538-78-8825
01HZNPDK82QWB755Y6AB5R2CVG,281-17-6083
01HZNPDK82K0DWBDNV6HG5F06D,450-93-3332
01HZNPDK83J2ZTTVV8J6PA92ZH,315-41-3693
01HZNPDK83ZKXD8Z3RNQSA7KMW,617-01-2733
01HZNPDK84AE6BC3MHKAZDZ5RK,245-29-1350
01HZNPDK848SX2Z2K9G6GX7X80,155-65-2049
01HZNPDK84369C4R695C3GF392,818-55-0483
01HZNPDK85SDD07Y590QEDM168,456-98-2179
01HZNPDK85D9P7CHDMY3TK7J9S,740-09-2081
01HZNPDK86BYE4ZD9V8VN3ZG5X,863-30-1218
01HZNPDK86M4HM9EW0VR43Y901,559-27-5733
01HZNPDK86EBTFTFPXZ9YQ439Q,278-68-3985
01HZNPDK87A9GH00D1GWWGSYH5,484-47-7866
01HZNPDK87TWDADN6RKPQAX9DK,862-49-7157
01HZNPDK88NA1NDJFH8FEYYS6T,203-94-6830
01HZNPDK88SB75MC635RBGZ792,594-71-0363
01HZNPDK88VHN0Q1X06ZR42V8E,246-22-4316
01HZNPDK896HN2MKWP43SWBE46,436-89-3500
01HZNPDK89JQQ2QEJ3ZTRQGYRK,383-51-9550
01HZNPDK8AC25EQQC70Z17FV9Y,325-92-5984
